Dart Dragoon - Flameshot,4139,4140,NONE,NONE
Dart Dragoon - Explosion,4141,4142,NONE,NONE
Dart Dragoon - Final Burst,4143,4144,NONE,NONE
Dart Dragoon - Red-Eye Dragon Spirit,4145,4146,NONE,NONE
Dart - Divine Dragoon Cannon,4147,4148,NONE,NONE
Lavitz Dragoon - Wing Blaster,4149,4150,NONE,NONE
Lavitz Dragoon - Gaspless,4151,4152,NONE,NONE
Lavitz Dragoon - Blossom Storm,4153,4154,NONE,NONE
Lavitz Dragoon - Jade Dragon Spirit,4155,4156,NONE,NONE
Dart - Divine Dragoon Ball,4157,4158,NONE,NONE
Shana Dragoon - Star Children,4159,4160,NONE,NONE
Shana Dragoon - Moonlight,4161,4162,NONE,NONE
Shana Dragoon - Gates of Heaven,4163,4164,NONE,NONE
Shana Dragoon - White Silver Dragon Spirit,4165,4166,NONE,NONE
Albert Dragoon - Wing Blaster,4167,4168,NONE,NONE
Rose Dragoon - Astral Drain,4169,4170,NONE,NONE
Rose Dragoon - Death Dimension,4171,4172,NONE,NONE
Albert Dragoon - Gaspless,4173,4174,NONE,NONE
Rose Dragoon - Demon's Gate,4175,4176,NONE,NONE
Rose Dragoon - Dark Dragon Spirit,4177,4178,NONE,NONE
Haschel Dragoon - Atomic Mind,4179,4180,NONE,NONE
Haschel Dragoon - Thunder Kid,4181,4182,NONE,NONE
Haschel Dragoon - Thunder God,4183,4184,NONE,NONE
Haschel Dragoon - Violet Dragon Spirit,4185,4186,NONE,NONE
Meru Dragoon - Freezing Ring,4187,4188,NONE,NONE
Meru Dragoon - Rainbow Breath,4189,4190,NONE,NONE
Albert Dragoon - Rose Storm,4191,4192,NONE,NONE
Meru Dragoon - Diamond Dust,4193,4194,NONE,NONE
Meru Dragoon - Blue-Sea Dragon Spirit,4195,4196,NONE,NONE
Kongol Dragoon - Grand Stream,4197,4198,NONE,NONE
Kongol Dragoon - Meteor Strike,4199,4200,NONE,NONE
Kongol - Golden Dragon Spirit,4201,4202,NONE,NONE
Dart Red-Eyed Dragoon - Transformation,4203,4204,NONE,NONE
Lavitz Dragoon - Transformation,4207,4208,NONE,NONE
Shana Dragoon - Transformation,4211,4212,NONE,NONE
Rose Dragoon - Transformation,4215,4216,NONE,NONE
Haschel Dragoon - Transformation,4219,4220,NONE,NONE
Meru Dragoon - Transformation,4223,4224,NONE,NONE
Kongol Dragoon - Transformation,4227,4228,NONE,NONE
Dart Divine Dragoon - Transformation,4231,4232,NONE,NONE
Albert Dragoon - Transformation,4233,4234,NONE,NONE
Dart Dragoon Attack,4235,4236,NONE,NONE
Lavitz Dragoon Attack,4237,4238,NONE,NONE
Rose Dragoon Attack,4241,4242,NONE,NONE
Haschel Dragoon Attack,4243,4244,NONE,NONE
Albert Dragoon Attack,4245,4246,NONE,NONE
Meru Dragoon - Attack,4247,4248,NONE,NONE
Kongol Dragoon - Attack,4249,4250,NONE,NONE
Shana_Miranda Dragoon - Attack,4253,4254,NONE,NONE
Zieg Dragoon - Attack,4255,4256,NONE,NONE
Kanzas Dragoon - Attack,4257,4258,NONE,NONE
Zieg Dragoon - Attack,4259,4260,NONE,NONE
Syuveil Dragoon - Attack,4261,4262,NONE,NONE
Damia Dragoon - Attack,4263,4264,NONE,NONE
Belzac Dragoon - Attack,4265,4266,NONE,NONE
Miranda Dragoon - Transformation,4267,4268,NONE,NONE
Miranda Dragoon - Star Children,4269,4270,NONE,NONE
Miranda Dragoon - Moonlight,4271,4272,NONE,NONE
Miranda Dragoon - Gates of Heaven,4273,4274,NONE,NONE
Syuveil Dragoon - Wing Blaster,4275,4276,NONE,NONE
Syuveil Dragoon - Gaspless,4277,4278,NONE,NONE
Kanzas Dragoon - Atomic Mind,4279,4280,NONE,NONE
Kanzas Dragoon - Thunder God,4281,4282,NONE,NONE
Damia Dragoon - Freezing Ring,4283,4284,NONE,NONE
Damia Dragoon - Diamond Dust,4285,4286,NONE,NONE
Belzac - Grand Stream,4287,4288,NONE,NONE
Belzac Dragoon - Meteor Strike,4289,4290,NONE,NONE
Syuveil Dragoon - Jade Dragoon Spirit,4291,4292,NONE,NONE
Kanzas Dragoon - Violet Dragoon Spirit,4293,4294,NONE,NONE
Damia Dragoon - Blue-Sea Dragon Spirit,4295,4296,NONE,NONE
Belzac Dragoon - Golden Dragon Spirit,4297,4298,NONE,NONE
Zieg Dragoon - Flameshot,4299,4300,NONE,NONE
Zieg Dragoon - Explosion,4301,4302,NONE,NONE
Zieg Dragoon - Final Burst,4303,4304,NONE,NONE
Zieg Dragoon - Red-Eye Dragon Spirit,4305,4306,NONE,NONE
